show_id,episode_id,name,url,season,number,type,airdate,airtime,airstamp,runtime
31894,1969218,Episode 1,https://www.tvmaze.com/episodes/1969218/team-ingebrigtsen-4x01-episode-1,4,1.0,regular,2020-12-05,06:00,2020-12-05,52.0
31894,1980944,Episode 2,https://www.tvmaze.com/episodes/1980944/team-ingebrigtsen-4x02-episode-2,4,2.0,regular,2020-12-05,06:00,2020-12-05,61.0
50752,1977313,Episode 5,https://www.tvmaze.com/episodes/1977313/stjernestov-1x05-episode-5,1,5.0,regular,2020-12-05,06:00,2020-12-05,23.0
51436,1973849,"Chelcee Grimes, Shane Richie, Chris Kamara",https://www.tvmaze.com/episodes/1973849/im-a-celebritythe-daily-drop-1x18-chelcee-grimes-shane-richie-chris-kamara,1,18.0,regular,2020-12-05,06:00,2020-12-05,30.0
58844,2212165,6 серия,https://www.tvmaze.com/episodes/2212165/zombety-1x06-6-seria,1,6.0,regular,2020-12-05,,2020-12-05,
53888,2041863,Stray Kids의 마지막 추억여행,https://www.tvmaze.com/episodes/2041863/fandom-tour-1x12-stray-kidsui-majimag-chueog-yeohaeng,1,12.0,regular,2020-12-05,17:00,2020-12-05,20.0
33691,1979373,Day 4,https://www.tvmaze.com/episodes/1979373/melon-music-awards-2020-12-05-day-4,2020,4.0,regular,2020-12-05,18:00,2020-12-05,300.0
56605,2137600,Episode 2,https://www.tvmaze.com/episodes/2137600/its-okay-to-be-sensitive-2020-1x02-episode-2,1,2.0,regular,2020-12-05,18:00,2020-12-05,
24963,1965921,BEST OF THE SUPER Jr.27 Night 8,https://www.tvmaze.com/episodes/1965921/new-japan-pro-wrestling-2020-12-05-best-of-the-super-jr27-night-8,2020,84.0,regular,2020-12-05,18:30,2020-12-05,120.0
57032,2153993,Vinter og snø,https://www.tvmaze.com/episodes/2153993/oteren-svenn-1x01-vinter-og-sno,1,1.0,regular,2020-12-05,,2020-12-05,5.0
57032,2153994,Hyttetur,https://www.tvmaze.com/episodes/2153994/oteren-svenn-1x02-hyttetur,1,2.0,regular,2020-12-05,,2020-12-05,5.0
57032,2153995,Innedag,https://www.tvmaze.com/episodes/2153995/oteren-svenn-1x03-innedag,1,3.0,regular,2020-12-05,,2020-12-05,5.0
57032,2153996,Fisk under isen,https://www.tvmaze.com/episodes/2153996/oteren-svenn-1x04-fisk-under-isen,1,4.0,regular,2020-12-05,,2020-12-05,5.0
57032,2153997,Pølser og kakao,https://www.tvmaze.com/episodes/2153997/oteren-svenn-1x05-polser-og-kakao,1,5.0,regular,2020-12-05,,2020-12-05,5.0
57032,2153998,Ingen vil leke,https://www.tvmaze.com/episodes/2153998/oteren-svenn-1x06-ingen-vil-leke,1,6.0,regular,2020-12-05,,2020-12-05,5.0
57032,2153999,Småfisk til frokost,https://www.tvmaze.com/episodes/2153999/oteren-svenn-1x07-smafisk-til-frokost,1,7.0,regular,2020-12-05,,2020-12-05,5.0
57032,2154000,Bursdag,https://www.tvmaze.com/episodes/2154000/oteren-svenn-1x08-bursdag,1,8.0,regular,2020-12-05,,2020-12-05,5.0
57032,2154001,Bollebaking,https://www.tvmaze.com/episodes/2154001/oteren-svenn-1x09-bollebaking,1,9.0,regular,2020-12-05,,2020-12-05,5.0
57032,2154002,Badebassenget,https://www.tvmaze.com/episodes/2154002/oteren-svenn-1x10-badebassenget,1,10.0,regular,2020-12-05,,2020-12-05,5.0
57956,2182116,Episode 1,https://www.tvmaze.com/episodes/2182116/hjem-til-jul-1x01-episode-1,1,1.0,regular,2020-12-05,,2020-12-05,21.0
6097,1969054,Harry Potter vs Luke Skywalker. Epic Rap Battles Of History,https://www.tvmaze.com/episodes/1969054/epic-rap-battles-of-history-7x03-harry-potter-vs-luke-skywalker-epic-rap-battles-of-history,7,3.0,regular,2020-12-05,,2020-12-05,4.0
30606,2176122,Catfish Walking on Land Find Water by its Smell,https://www.tvmaze.com/episodes/2176122/scishow-2020-12-05-catfish-walking-on-land-find-water-by-its-smell,2020,332.0,regular,2020-12-05,,2020-12-05,
38605,1979849,ЧАЙЛДФРИ или рожать? Зачем нужны дети? Интенсивное материнство | ПОДРУГИ,https://www.tvmaze.com/episodes/1979849/neznyj-redaktor-6x01-cajldfri-ili-rozat-zacem-nuzny-deti-intensivnoe-materinstvo-podrugi,6,1.0,regular,2020-12-05,,2020-12-05,93.0
40225,2130270,EXPAC-tations,https://www.tvmaze.com/episodes/2130270/wowcraft-1x52-expac-tations,1,52.0,regular,2020-12-05,,2020-12-05,2.0
40232,1980954,Gaby Blaaser op de vlucht,https://www.tvmaze.com/episodes/1980954/jachtseizoen-5x06-gaby-blaaser-op-de-vlucht,5,6.0,regular,2020-12-05,,2020-12-05,30.0
42382,2042002,GCW Slime Season,https://www.tvmaze.com/episodes/2042002/game-changer-wrestling-2020-12-05-gcw-slime-season,2020,29.0,regular,2020-12-05,,2020-12-05,120.0
49147,1980208,"December 5, 1941",https://www.tvmaze.com/episodes/1980208/world-war-two-week-by-week-3x14-december-5-1941,3,14.0,regular,2020-12-05,,2020-12-05,20.0
51125,1946581,Devil,https://www.tvmaze.com/episodes/1946581/detention-1x01-devil,1,1.0,regular,2020-12-05,,2020-12-05,56.0
51125,1981049,Who am I?,https://www.tvmaze.com/episodes/1981049/detention-1x02-who-am-i,1,2.0,regular,2020-12-05,,2020-12-05,47.0
51800,1965950,All the Significance,https://www.tvmaze.com/episodes/1965950/i-told-sunset-about-you-the-documentary-1x08-all-the-significance,1,8.0,regular,2020-12-05,,2020-12-05,21.0
53851,2039935,Birthday Bash,https://www.tvmaze.com/episodes/2039935/tregayes-way-in-the-kitchen-1x04-birthday-bash,1,4.0,regular,2020-12-05,,2020-12-05,60.0
56067,2118377,ALLEGATION,https://www.tvmaze.com/episodes/2118377/yaar-jigree-kasooti-degree-2x11-allegation,2,11.0,regular,2020-12-05,,2020-12-05,
57945,2181795,Big Mouth,https://www.tvmaze.com/episodes/2181795/i-like-to-watch-3x07-big-mouth,3,7.0,regular,2020-12-05,,2020-12-05,16.0
60848,2289320,Blippi Decorates The Christmas Tree | Educational Videos For Kids,https://www.tvmaze.com/episodes/2289320/blippi-2020-12-05-blippi-decorates-the-christmas-tree-educational-videos-for-kids,2020,15.0,regular,2020-12-05,,2020-12-05,
61755,2318097,Episode 41,https://www.tvmaze.com/episodes/2318097/bride-of-beirut-2x41-episode-41,2,41.0,regular,2020-12-05,,2020-12-05,45.0
50983,1953787,Death Channel - Part 2,https://www.tvmaze.com/episodes/1953787/after-dark-the-series-1x08-death-channel-part-2,1,8.0,regular,2020-12-05,20:00,2020-12-05,60.0
61307,2303539,"Chapter 13: I, Will Stay True, To My Convictions.",https://www.tvmaze.com/episodes/2303539/kamen-rider-saber-1x13-chapter-13-i-will-stay-true-to-my-convictions,1,13.0,regular,2020-12-05,00:00,2020-12-05,23.0
61536,2311212,"""See You Tomorrow""",https://www.tvmaze.com/episodes/2311212/ano-ko-no-yume-wo-mitan-desu-1x10-see-you-tomorrow,1,10.0,regular,2020-12-05,00:15,2020-12-05,30.0
4091,1977381,Amity,https://www.tvmaze.com/episodes/1977381/rwby-8x05-amity,8,5.0,regular,2020-12-05,11:00,2020-12-05,15.0
19667,1961286,"December 5, 2020",https://www.tvmaze.com/episodes/1961286/wwe-talking-smack-2020-12-05-december-5-2020,2020,16.0,regular,2020-12-05,,2020-12-05,30.0
25294,2042786,UFC Fight Night 197: Hermansson vs. Vettori,https://www.tvmaze.com/episodes/2042786/ufc-fight-pass-prelims-2020-12-05-ufc-fight-night-197-hermansson-vs-vettori,2020,51.0,regular,2020-12-05,,2020-12-05,60.0
50939,1943279,Blooming Fans,https://www.tvmaze.com/episodes/1943279/rail-romanesque-1x10-blooming-fans,1,10.0,regular,2020-12-05,,2020-12-05,5.0
53754,2037518,Throw It on the Grill,https://www.tvmaze.com/episodes/2037518/lovely-bites-by-chef-lovely-1x04-throw-it-on-the-grill,1,4.0,regular,2020-12-05,,2020-12-05,25.0
51314,1967067,Episode 5,https://www.tvmaze.com/episodes/1967067/maskorama-1x05-episode-5,1,5.0,regular,2020-12-05,19:50,2020-12-05,91.0
